"","SiteCode","p","J","S","DA","k","quantil_p","kernel_type","kernel_code","dist_0","d","txt.file"
"161","MGuberl5",0.00742437918995731,957,68,957,0.9,"1oT","laplace","2",3.23254091917618,1.43690342587344,"ref284_MG_391.txt"
"162","MGuberl3",0.0180417237953712,975,85,975,0.9,"1oT","laplace","2",3.20256307610174,1.42263717757334,"ref89_MG_102.txt"
"163","SCarar",0.0359928114764424,2034,26,2034,0.9,"1oT","laplace","2",2.21730035079246,0.986350918605603,"ref873_SC_1328.txt"
"164","MGuberl7",0.0485476800383076,945,73,945,0.9,"1oT","laplace","2",3.25300024316178,1.44655602120931,"ref100_MG_118.txt"
"165","RScach4",0.072361253275373,1095,48,1095,0.9,"1oT","laplace","2",3.0219894260775,1.34550053682042,"ref638_RS_989.txt"
"166","RScach3",0.102843143491402,1228,71,1228,0.9,"1oT","laplace","2",2.85365072767675,1.27582390958219,"ref663_RS_1023.txt"
"167","SPcamp1",0.103320559326545,1076,108,1076,0.9,"1oT","laplace","2",3.04855380424846,1.3536109669281,"ref986_SP_1505.txt"
"168","RScach2",0.104325049309665,1904,48,1904,0.9,"1oT","laplace","2",2.29174624257053,1.019005731105,"ref664_RS_1024.txt"
"169","PEalia",0.114091406447269,595,60,595,0.9,"1oT","laplace","2",4.09960030845394,1.82662353705249,"ref1496_PE_2393.txt"
"170","MSdour",0.116734787274334,1016,74,1016,0.9,"1oT","laplace","2",3.13727902569079,1.3956002015463,"ref2570_MS_3876.txt"
"171","RScach1",0.151225472114475,1547,30,1547,0.9,"1oT","laplace","2",2.54246418090461,1.13167722583386,"ref624_RS_974.txt"
"172","BAlenc4",0.159514416903022,893,61,866.990291262136,0.9,"1oT","laplace","2",3.396197069558,1.50885467795449,"ref1420_BA_2286.txt"
"173","PRrico3",0.169853953773957,1143,39,1143,0.9,"1oT","laplace","2",2.95785503138705,1.31637985604493,"ref2686_PR_4170.txt"
"174","PRtiba1",0.181441319632234,1482,117,1482,0.9,"1oT","laplace","2",2.59762166733066,1.16027516443527,"ref347_PR_571.txt"
"175","PRrico1",0.189679150380924,1018,64,1018,0.9,"1oT","laplace","2",3.13419570403611,1.39326716799327,"ref1159_PR_1776.txt"
"176","PEmata2",0.21628955738904,1076,75,1076,0.9,"1oT","laplace","2",3.04855380424846,1.35908055822131,"ref1617_PE_2549.txt"
"177","MGvico16",0.21847289239375,1653,91,1653,0.9,"1oT","laplace","2",2.45959483971641,1.10080344276918,"ref257_MG_348.txt"
"178","PRrico2",0.226305520677815,961,34,961,0.9,"1oT","laplace","2",3.2258064516129,1.43082934642407,"ref1359_PR_2196.txt"
"179","MGvico1",0.23259121186371,1825,93,1825,0.9,"1oT","laplace","2",2.34082294392261,1.04211003018124,"ref224_MG_307.txt"
"180","MGuberl1",0.234288719011765,1379,87,1253.63636363636,0.9,"1oT","laplace","2",2.82432200338865,1.2594015898537,"ref76_MG_87.txt"
"181","RSmaqu4",0.310748079531233,1531,85,1531,0.9,"1oT","laplace","2",2.55571489830357,1.14173863644086,"ref658_RS_1017.txt"
"182","MGvico8",0.313668812302999,2303,195,2303,0.9,"1oT","laplace","2",2.08378559282707,0.92906496098571,"ref2419_MG_3585.txt"
"183","RScamb1",0.327940858999573,1178,42,1178,0.9,"1oT","laplace","2",2.91358273374033,1.30479450746529,"ref1183_RS_1928.txt"
"184","PRdiam3",0.328788995096578,1124,74,1040.74074074074,0.9,"1oT","laplace","2",3.09976465643231,1.38054089474217,"ref1327_PR_2157.txt"
"185","PRvent",0.340772625042584,1241,101,1241,0.9,"1oT","laplace","2",2.8386647790183,1.26939558067649,"ref462_PR_743.txt"
"186","RSsmar2",0.36114979447901,1427,58,1427,0.9,"1oT","laplace","2",2.64720767589686,1.17719061039774,"ref678_RS_1041.txt"
"187","SPeec4",0.37843888158286,1212,84,1212,0.9,"1oT","laplace","2",2.87242494810713,1.28274730942431,"ref2561_SP_3863.txt"
"188","PRsapo",0.425074364521363,1480,122,1480,0.9,"2oT","laplace","2",2.59937622455018,1.16182393969653,"ref348_PR_572.txt"
"189","PRdiam2",0.448393813206425,1146,84,1091.42857142857,0.9,"2oT","laplace","2",3.02692974231671,1.34802029872007,"ref454_PR_732.txt"
"190","RSfaxi",0.470118159409467,1211,74,1211,0.9,"2oT","laplace","2",2.87361067569039,1.28390991857554,"ref639_RS_990.txt"
