sp,N,MeanDA,SiteCode,ha
Coussarea verticillata,6,12,ESpedro4,0.5
Crepidospermum atlanticum,5,10,ESpedro4,0.5
Cupania rugosa,5,10,ESpedro4,0.5
Cupania scrobiculata,1,2,ESpedro4,0.5
Dalbergia sp.,1,2,ESpedro4,0.5
Deguelia costata,18,36,ESpedro4,0.5
Deguelia densiflora,2,4,ESpedro4,0.5
Dialium guianense,10,20,ESpedro4,0.5
Dilodendron bipinnatum,1,2,ESpedro4,0.5
Diploon cuspidatum,4,8,ESpedro4,0.5
Diplotropis incexis,1,2,ESpedro4,0.5
Diplotropis purpurea,14,28,ESpedro4,0.5
Duguetia sp.,10,20,ESpedro4,0.5
Ecclinusa ramiflora,29,58,ESpedro4,0.5
Emmotum acuminatum,3,6,ESpedro4,0.5
Emmotum nitens,3,6,ESpedro4,0.5
Endlicheria glomerata,1,2,ESpedro4,0.5
Eriotheca candolleana,4,8,ESpedro4,0.5
Eriotheca macrophylla,10,20,ESpedro4,0.5
Erythroxylum pulchrum,1,2,ESpedro4,0.5
Eschweilera ovata,5,10,ESpedro4,0.5
Eugenia excelsa,4,8,ESpedro4,0.5
Eugenia inversa,6,12,ESpedro4,0.5
Eugenia pisiformis,1,2,ESpedro4,0.5
Eugenia sp.,2,4,ESpedro4,0.5
Eugenia sp.10,1,2,ESpedro4,0.5
Eugenia sp.12,2,4,ESpedro4,0.5
Eugenia sp.13,1,2,ESpedro4,0.5
Eugenia sp.15,1,2,ESpedro4,0.5
Eugenia sp.2,5,10,ESpedro4,0.5
Eugenia sp.9,3,6,ESpedro4,0.5
Fabaceae sp.,3,6,ESpedro4,0.5
Faramea bahiensis,3,6,ESpedro4,0.5
Faramea sp.,11,22,ESpedro4,0.5
Ficus sp.,1,2,ESpedro4,0.5
Garcinia gardneriana,2,4,ESpedro4,0.5
Guapira opposita,16,32,ESpedro4,0.5
Guapira venosa,32,64,ESpedro4,0.5
Guarea penningtoniana,17,34,ESpedro4,0.5
Guatteria ferruginea,1,2,ESpedro4,0.5
Helicostylis tomentosa,13,26,ESpedro4,0.5
Hirtella hebeclada,8,16,ESpedro4,0.5
Hirtella sp.,1,2,ESpedro4,0.5
Hornschuchia citriodora,11,22,ESpedro4,0.5
Humiriastrum dentatum,1,2,ESpedro4,0.5
Hydrogaster trinervis,9,18,ESpedro4,0.5
Indet. sp.6,1,2,ESpedro4,0.5
Inga capitata,1,2,ESpedro4,0.5
Inga thibaudiana,2,4,ESpedro4,0.5
Inga flagelliformis,3,6,ESpedro4,0.5
Inga hispida,1,2,ESpedro4,0.5
Jacaranda macrantha,2,4,ESpedro4,0.5
Jacaratia heptaphylla,6,12,ESpedro4,0.5
Jacaratia spinosa,10,20,ESpedro4,0.5
Joannesia princeps,2,4,ESpedro4,0.5
Kielmeyera sp.,1,2,ESpedro4,0.5
Lauraceae sp.,1,2,ESpedro4,0.5
Lecythis lanceolata,20,40,ESpedro4,0.5
Lecythis lurida,8,16,ESpedro4,0.5
Licania sp.,1,2,ESpedro4,0.5
Licaria bahiana,4,8,ESpedro4,0.5
Lonchocarpus sericeus,12,24,ESpedro4,0.5
Luehea divaricata,9,18,ESpedro4,0.5
Machaerium costulatum,4,8,ESpedro4,0.5
Machaerium ovalifolium,3,6,ESpedro4,0.5
Machaerium sp.,1,2,ESpedro4,0.5
Manilkara bella,5,10,ESpedro4,0.5
Manilkara bidentata,1,2,ESpedro4,0.5
Margaritaria nobilis,1,2,ESpedro4,0.5
Marlierea sucrei,4,8,ESpedro4,0.5
Marlierea sp.,1,2,ESpedro4,0.5
Maytenus cestrifolia,3,6,ESpedro4,0.5
Melanoxylon brauna,10,20,ESpedro4,0.5
Micropholis crassipedicellata,22,44,ESpedro4,0.5
Monilicarpa brasiliana,4,8,ESpedro4,0.5
Mouriri arborea,3,6,ESpedro4,0.5
Mouriri doriana,1,2,ESpedro4,0.5
Myrcia aethusa,5,10,ESpedro4,0.5
Myrcia splendens,3,6,ESpedro4,0.5
Myrcia neoblanchetiana,2,4,ESpedro4,0.5
Myrcia racemosa,7,14,ESpedro4,0.5
Ocotea corymbosa,13,26,ESpedro4,0.5
Ocotea laxa,4,8,ESpedro4,0.5
Ocotea odorifera,1,2,ESpedro4,0.5
Panopsis rubescens,2,4,ESpedro4,0.5
Parinari excelsa,1,2,ESpedro4,0.5
Pausandra trianae,22,44,ESpedro4,0.5
Peltogyne angustiflora,4,8,ESpedro4,0.5
Pera glabrata,4,8,ESpedro4,0.5
Phyllostemonodaphne geminiflora,1,2,ESpedro4,0.5
Picramnia glazioviana,3,6,ESpedro4,0.5
Pilocarpus spicatus,4,8,ESpedro4,0.5
Plinia grandifolia,1,2,ESpedro4,0.5
Plinia sp.,3,6,ESpedro4,0.5
Pogonophora schomburgkiana,1,2,ESpedro4,0.5
Pourouma guianensis,1,2,ESpedro4,0.5
Pourouma velutina,6,12,ESpedro4,0.5
