SiteCode,k,MN,U,GOF,p,d,m_,I,J,S,DA,S_m,S_sd,KS.D_mean,KS.D_sd,KS.p_mean,KS.p_sd
MGuberl1,0.7,EI,0.008678674,98,0.234288719011765,1.4311565861787447,0.00661038970902242,9.169732524547653,1379,87,1253.63636363636,45.41,5.7315271996566555,0.16289538502620227,0.04231208363248761,0.45774479740027135,0.2744058279897335
MGuberl1,0.65,EI,0.01239248,99,0.234288719011765,1.5767301295897553,0.00806079671174861,11.198043017120005,1379,87,1253.63636363636,54.41,5.825917363927602,0.12902202857600076,0.037748420598308546,0.6352420738100848,0.2698431650608585
MGuberl1,0.6,EI,0.01273444,100,0.234288719011765,1.7339607588101802,0.00980266162166105,13.641793601234369,1379,87,1253.63636363636,62.62,6.444447927550436,0.1130559447628202,0.036051900979279815,0.719129287958177,0.2471492397213689
MGuberl1,0.55,EI,0.01334392,100,0.234288719011765,1.9076001600997894,0.0119447276860247,16.658819817634228,1379,87,1253.63636363636,73.26,7.387704773350235,0.09263286081184986,0.030507400829211235,0.8283993238411896,0.21759071548538753
MGuberl1,0.5,EI,0.01306742,100,0.234288719011765,2.0929319747715778,0.0144937226800293,20.266080808124396,1379,87,1253.63636363636,84.34,8.219489035213808,0.08881479312645113,0.028053499439034565,0.8255403719362993,0.21100215359743596
MGuberl1,0.25,EI,0.01521829,20,0.234288719011765,3.650494293522698,0.0488157117150434,70.72031316309713,1379,87,1253.63636363636,206.11,11.036116100597104,0.19207037634525945,0.02086379409600832,0.031516012338462296,0.02625456859095737
MGuberl3,0.99,EI,0.01139896,90,0.0180417237953712,0.5821626326060921,8.68821391007449e-5,0.08463055636789607,975,85,975,1.46,0.6878454136877798,0.9068039215686274,0.17214758552786208,0.2812936571712207,0.1725832741501058
MGuberl3,0.95,EI,0.01135866,73,0.0180417237953712,0.8226408381730373,1.74306784958317e-4,0.16980440660958865,975,85,975,2,0.8876253645985945,0.8194117647058824,0.22462940749625654,0.27980664823255574,0.24604570127351397
MGuberl3,0.9,EI,0.01125482,71,0.0180417237953712,1.0079821647853613,2.62948120884088e-4,0.25617883148345055,975,85,975,2.95,1.4025589888385148,0.7103487394957984,0.22711827465401543,0.2752038326946399,0.264315817278099
MGuberl3,0.85,EI,0.01096139,70,0.0180417237953712,1.1718560677278007,3.5719360211175e-4,0.34803088286153994,975,85,975,3.25,1.4240006242195884,0.6890448179271709,0.22581036621916875,0.25812809806753656,0.27646440311203696
MGuberl3,0.8,EI,0.0113427,73,0.0180417237953712,1.3148724195303307,4.51975064826928e-4,0.4404227732529201,975,85,975,3.81,1.7735144587382234,0.6502556022408964,0.2292426250489649,0.26354171835305223,0.25103373548426605
MGuberl3,0.75,EI,0.01109062,63,0.0180417237953712,1.467347350956319,5.66294666386214e-4,0.5518835337618081,975,85,975,4.52,1.6965800418441321,0.6313471055088702,0.17517376690767217,0.1692926406662734,0.20827787597533648
MGuberl3,0.7,EI,0.013141,67,0.0180417237953712,1.6229241784519917,6.9754518017154e-4,0.6798832547745273,975,85,975,5.45,1.8768929838238708,0.5650211145064086,0.18536253805043645,0.1990946190821963,0.22872229376281805
MGuberl3,0.65,EI,0.0133261,66,0.0180417237953712,1.7832614047158202,8.48864286726014e-4,0.8274962472828559,975,85,975,5.81,2.130561646442771,0.5372180842033784,0.18618891694496537,0.24015933167271267,0.2602409294767609
MGuberl3,0.6,EI,0.0135255,57,0.0180417237953712,1.9578496468648598,0.00103301776321096,1.007199756607152,975,85,975,6.93,2.5196400255960887,0.5331864736570618,0.1500079052587595,0.14927228052077154,0.181954139522946
MGuberl3,0.55,EI,0.01348462,68,0.0180417237953712,2.1627488486834627,0.00127636011387009,1.244763517414296,975,85,975,8.4,2.6438417104469374,0.46172300248770837,0.1321151422843135,0.18659049454252977,0.2303764289638377
MGuberl3,0.5,EI,0.01356322,51,0.0180417237953712,2.3683253156807225,0.00155200735236342,1.5140049079506246,975,85,975,9.68,2.75930016013796,0.46088243292655057,0.11620439048763496,0.1289805569300583,0.1773133697437252
MGuberl3,0.25,EI,0.01624546,71,0.0180417237953712,4.156910468734634,0.00580097831094277,5.683120533813383,975,85,975,26.62,4.354911310836595,0.26602152872259105,0.07373275015312357,0.20075719674176462,0.19948312151313555
MGuberl5,0.99,EI,0.01105966,92,0.00742437918995731,0.5891267216552748,3.66195990859127e-5,0.03500961876433584,957,68,957,1.31,0.6145541210314741,0.9379901960784314,0.15545512312561865,0.28427838111897125,0.14407410527851236
